date,total_value,spy_benchmark
2026-07-03,100000.0,100095.42
2026-07-04,99976.63,100095.42
2026-07-05,99981.97,100095.42
2026-07-06,99768.96,100968.99
2026-07-07,99258.61,100489.2
2026-07-08,98943.61,100178.75
2026-07-09,99668.16,101026.79
2026-07-10,99794.31,101462.23
2026-07-11,99774.28,101462.23
2026-07-12,99318.4,101462.23
2026-07-13,98944.39,100685.42
2026-07-14,99357.03,101042.91
2026-07-15,99353.92,101443.41
2026-07-16,98855.55,100893.73
2026-07-17,98676.07,99895.17
2026-07-18,98676.07,99895.17
2026-07-19,98715.31,99895.17
2026-07-20,98649.72,99733.9
2026-07-21,98965.38,100565.81
2026-07-22,98981.08,100448.88
2026-07-23,98416.01,99208.41
2026-07-24,98500.71,99309.2
2026-07-25,98500.7,99309.2
2026-07-26,98620.2,99309.2
2026-07-27,98413.48,99330.71
2026-07-28,98479.65,99568.59
2026-07-29,97980.05,98036.48
2026-07-30,98863.33,99680.14
2026-07-31,98821.98,100397.81
2026-08-01,98821.95,100397.81
2026-08-02,98931.98,100397.81
2026-08-03,99322.18,101827.79
2026-08-04,100173.41,103663.63
2026-08-05,100024.91,103456.66
2026-08-06,99880.16,103291.36
2026-08-07,100125.56,103923.02
2026-08-08,100125.56,103923.02
2026-08-09,100148.98,103923.02
2026-08-10,100093.62,103892.11
2026-08-11,100090.42,103560.15
2026-08-12,100419.96,103906.89
