symbol,quantity,avg_price,current_price,market_value,unrealized_pnl
BIL,50.0,91.55,91.55,4577.5,0.0
EEM,55.0,65.41,67.32,3702.6,105.05
EFA,70.0,108.08,108.5,7595.0,29.4
IWM,22.0,301.08,304.01,6688.22,64.46
KRE,49.0,75.2943,77.38,3791.62,102.2
QQQ,5.0,723.7371,729.57,3647.85,29.16
SHY,300.0,81.8985,82.01,24603.0,33.45
SMH,3.0,588.14,593.3067,1779.92,15.5
SPY,20.0,750.69,772.47,15449.4,435.6
VEA,35.0,71.74,74.0,2590.0,79.1
VTI,16.0,371.59,382.22,6115.52,170.08
VWO,51.0,60.05,60.39,3079.89,17.34
XLF,95.0,56.3458,57.61,5472.95,120.1
XLK,18.0,185.96,190.15,3422.7,75.42
CASH,,,,8072.87,
TOTAL_VALUE,,,,100589.04,
SPY_BENCHMARK,,,,103948.55,
GAP_VS_SPY,,,,-3359.51,
